Count: 50
Capacity: 1000
Tổng 50 người dùng

MaUser | Name                          | CCCD         | SDT
----------------------------------------------------------------
U001   | Nguyễn Văn An                | 049107000201 | 0901000001
U002   | Trần Thị Bích                | 049107000202 | 0901000002
U003   | Lê Văn Cường                 | 049107000203 | 0901000003
U004   | Phạm Thị Dung                | 049107000204 | 0901000004
U005   | Hoàng Văn Em                 | 049107000205 | 0901000005
U006   | Nguyễn Thị Hạnh              | 049107000206 | 0901000006
U007   | Trần Văn Hùng                | 049107000207 | 0901000007
U008   | Lê Thị Lan                   | 049107000208 | 0901000008
U009   | Phạm Văn Long                | 049107000209 | 0901000009
U010   | Hoàng Thị Mai                | 049107000210 | 0901000010
U011   | Nguyễn Văn Nam               | 049107000211 | 0901000011
U012   | Trần Thị Ngọc                | 049107000212 | 0901000012
U013   | Lê Văn Phúc                  | 049107000213 | 0901000013
U014   | Phạm Thị Quỳnh               | 049107000214 | 0901000014
U015   | Hoàng Văn Sơn                | 049107000215 | 0901000015
U016   | Nguyễn Thị Trang             | 049107000216 | 0901000016
U017   | Trần Văn Tuấn                | 049107000217 | 0901000017
U018   | Lê Thị Vân                   | 049107000218 | 0901000018
U019   | Phạm Văn Việt                | 049107000219 | 0901000019
U020   | Hoàng Thị Yến                | 049107000220 | 0901000020
U021   | Nguyễn Văn Bình              | 049107000221 | 0901000021
U022   | Trần Thị Chi                 | 049107000222 | 0901000022
U023   | Lê Văn Đức                   | 049107000223 | 0901000023
U024   | Phạm Thị Giang               | 049107000224 | 0901000024
U025   | Hoàng Văn Hải                | 049107000225 | 0901000025
U026   | Nguyễn Thị Hồng              | 049107000226 | 0901000026
U027   | Trần Văn Khoa                | 049107000227 | 0901000027
U028   | Lê Thị Linh                  | 049107000228 | 0901000028
U029   | Phạm Văn Minh                | 049107000229 | 0901000029
U030   | Hoàng Thị Nga                | 049107000230 | 0901000030
U031   | Nguyễn Văn Phong             | 049107000231 | 0901000031
U032   | Trần Thị Quyên               | 049107000232 | 0901000032
U033   | Lê Văn Sang                  | 049107000233 | 0901000033
U034   | Phạm Thị Thảo                | 049107000234 | 0901000034
U035   | Hoàng Văn Trung              | 049107000235 | 0901000035
U036   | Nguyễn Thị Uyên              | 049107000236 | 0901000036
U037   | Trần Văn Vinh                | 049107000237 | 0901000037
U038   | Lê Thị Xuân                  | 049107000238 | 0901000038
U039   | Phạm Văn Y                   | 049107000239 | 0901000039
U040   | Hoàng Thị Ánh                | 049107000240 | 0901000040
U041   | Nguyễn Văn Bảo               | 049107000241 | 0901000041
U042   | Trần Thị Cẩm                 | 049107000242 | 0901000042
U043   | Lê Văn Dũng                  | 049107000243 | 0901000043
U044   | Phạm Thị Hà                  | 049107000244 | 0901000044
U045   | Hoàng Văn Khánh              | 049107000245 | 0901000045
U046   | Nguyễn Thị Loan              | 049107000246 | 0901000046
U047   | Trần Văn Nam                 | 049107000247 | 0901000047
U048   | Lê Thị Oanh                  | 049107000248 | 0901000048
U049   | Phạm Văn Quang               | 049107000249 | 0901000049
U050   | Hoàng Thị Thu                | 049107000250 | 0901000050
